CalfID,CalfSex,sublocation,CADOB,ReasonsLoss,Education,Distance_water,RecruitWeight,VisitID,VisitDate,Weight,ManualPCV,Theileria.spp.,ELISA_mutans,ELISA_parva,Q.Strongyle.eggs,ReasonsLoss1,ADWG,timespent,Age,VisitDate1,CADOB1,VisitTime,VisitWeek,WeightMax,WeightMin
CA010110028,1,East Siboti,31/07/2009,7,Primary school,<1 km,19,VRC010028,3/8/2009,19,40,0,NA,NA,NA,died,0,3,3,2009-08-03,2009-07-31,7,1,19,19
CA010210036,2,Kidera,12/3/2008,7,Primary school,1-5 km,15,VRC010036,18/03/2008,15,32,0,0,0,NA,died,0.17,112,6,2008-03-18,2008-03-12,7,1,34,15
CA010210036,2,Kidera,12/3/2008,7,Primary school,1-5 km,15,VRC060036,23/04/2008,20,38,0,0,0,250,died,0.17,112,42,2008-04-23,2008-03-12,42,6,34,15
CA010210036,2,Kidera,12/3/2008,7,Primary school,1-5 km,15,VRC160036,2/7/2008,34,26,0,0,0,2300,died,0.17,112,112,2008-07-02,2008-03-12,112,16,34,15
CA010210036,2,Kidera,12/3/2008,7,Primary school,1-5 km,15,VRC110036,28/05/2008,29,30,0,0,0,1250,died,0.17,112,77,2008-05-28,2008-03-12,77,11,34,15
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC310038,19/11/2008,43,27,1,0,0,900,survived,0.15,355,215,2008-11-19,2008-04-18,217,31,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC110038,2/7/2008,25,26,0,0,0,NA,survived,0.15,355,75,2008-07-02,2008-04-18,77,11,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC410038,28/01/2009,NA,29,1,0,0,450,survived,0.15,355,285,2009-01-28,2008-04-18,287,41,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC210038,10/9/2008,36,33,1,0,0,NA,survived,0.15,355,145,2008-09-10,2008-04-18,147,21,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC510038,8/4/2009,72,34,1,0,0,1950,survived,0.15,355,355,2009-04-08,2008-04-18,357,51,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC010038,24/04/2008,20,33,0,0,0,NA,survived,0.15,355,6,2008-04-24,2008-04-18,7,1,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC260038,15/10/2008,38,27,1,0,0,350,survived,0.15,355,180,2008-10-15,2008-04-18,182,26,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC460038,4/3/2009,NA,28,0,0,0,650,survived,0.15,355,320,2009-03-04,2008-04-18,322,46,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC160038,6/8/2008,29,35,1,1,1,100,survived,0.15,355,110,2008-08-06,2008-04-18,112,16,72,20
CA010210038,1,Kidera,18/04/2008,NA,Primary school,<1 km,20,VRC060038,28/05/2008,27,36,0,0,0,NA,survived,0.15,355,40,2008-05-28,2008-04-18,42,6,72,20
CA010210041,1,Kidera,27/06/2008,NA,Primary school,1-5 km,16.5,VRC310041,28/01/2009,NA,31,1,0,0,600,survived,0.13,355,215,2009-01-28,2008-06-27,217,31,63.5,16.5
CA010210041,1,Kidera,27/06/2008,NA,Primary school,1-5 km,16.5,VRC410041,8/4/2009,NA,30,1,0,0,1350,survived,0.13,355,285,2009-04-08,2008-06-27,287,41,63.5,16.5
CA010210041,1,Kidera,27/06/2008,NA,Primary school,1-5 km,16.5,VRC010041,3/7/2008,16.5,30,0,0,0,NA,survived,0.13,355,6,2008-07-03,2008-06-27,7,1,63.5,16.5
CA010210041,1,Kidera,27/06/2008,NA,Primary school,1-5 km,16.5,VRC360041,4/3/2009,NA,26,1,0,0,300,survived,0.13,355,250,2009-03-04,2008-06-27,252,36,63.5,16.5
